plot,lat,long,class,obs
3.Mar,-5.6991,-48.9776,f,
ALP.11,-3.9503,-73.4302,f,
ALP.12,-3.9503,-73.4347,f,
ALP.21,-3.9458,-73.4302,f,
ALP.22,-3.9503,-73.4257,f,
AND.01,-8.0586,-35.1776,f,
ANN.03,-0.5311,-73.4302,f,
BDF.01,-2.399,-60.0006,f,
BDF.03,-2.399,-59.8996,f,
BDF.04,-2.399,-59.904,f,
BDF.05,-2.3945,-59.8996,f,
BDF.06,-2.4035,-59.8996,f,
BDF.08,-2.3945,-59.904,f,
BDF.09,-2.3945,-59.8951,f,
BDF.10,-2.4035,-59.8951,f,
BDF.11,-2.4035,-59.904,f,
BDF.12,-2.399,-59.9085,f,
BDF.13,-2.3945,-60.0006,f,
BDF.14,-2.399,-59.9961,f,
BNT.01,-2.6302,-60.169,f,
BNT.02,-2.6302,-60.1734,f,
BNT.04,-2.6257,-60.169,f,
BNT.05,-2.6302,-60.1645,f,
BNT.06,-2.6347,-60.169,f,
BNT.07,-2.6257,-60.1734,f,
BOG.01,-0.6995,-76.4811,f,
BOG.02,-0.6995,-76.4699,f,
CAM.04,-3.4833,-51.6671,f,
CAM.05,-23.3336,-44.8334,f,
CAM.06,-3.4833,-51.6626,f,
CAM.07,-3.4878,-51.6671,f,
CAQ.01,-0.5311,-72.1011,f,
CAR.02,-21.4792,-44.106,f,
CAR.03,-21.7778,-46.5216,f,
CAX.01,-1.7008,-51.5302,f,
CAX.02,-1.7008,-51.5347,f,
CCA.01,-6.431,-45.3093,s,
CHO.01,-14.3491,-61.159,f,
COS.01,-8.6311,-35.777,f,
CRP.01,-14.5399,-61.48,f,
CRP.02,-14.5309,-61.48,f,
CUZ.01,-12.497,-68.9469,f,
CUZ.02,-12.4925,-68.9469,f,
CUZ.03,-12.4902,-69.1085,f,
CUZ.04,-12.4858,-69.1153,f,
DEZ.01,-4.626,-60.9323,f,
DEZ.02,-4.626,-60.9367,f,
DEZ.03,-4.626,-60.9278,f,
DNE.01,-19.6742,-48.0347,f,
ELD.01,6.5003,-61.5002,f,
ELD.02,6.5003,-61.5047,f,
ELD.03,6.5047,-61.5002,f,
ELD.04,6.5003,-61.4957,f,
FEL.02,-15.9565,-47.9427,f,
FRA.01,-14.7016,-52.3519,f,s -> f
FRO.01,-7.641,-35.5009,f,
FWA.01,-15.9071,-48.01,f,
GWA.02,-15.9071,-48.0145,f,
HCC.22,-14.5691,-60.7459,f,
HPE.01,-4.7001,-62.5397,f,
INF.01,-12.7305,-69.699,f,
JAC.01,-2.6257,-60.1645,f,
JAC.02,-2.6347,-60.1734,f,
JAS.02,-1.0744,-77.5991,f,
JAS.03,-1.0699,-77.5991,f,
JAS.04,-1.0654,-77.5991,f,
JAS.05,-1.0699,-77.5946,f,
JEN.03,-4.9201,-73.731,f,
JEN.09,-4.9179,-73.7198,f,
JRI.01,-1.0003,-52.051,f,
KIL.01,-16.2169,-61.8325,s,f -> s
KOR.01,-0.5334,-76.434,f,
LFB.01,-14.6095,-60.8425,f,
LFB.02,-14.6005,-60.8447,f,
LIN.01,-19.2005,-40.0291,f,
LSL.01,-14.4007,-61.1298,f,
LSL.02,-14.4007,-61.1343,f,
MAT.01,-4.0827,-41.7083,s,f -> s
MBO.01,-1.4448,-48.4366,f,
MNU.01,-11.8796,-71.3491,f,
MNU.03,-11.8796,-71.3535,f,
